Catchment,monitor_name,DAY,Class,Updated_Class,max_depth,min_depth,ave_depth,std_dev_depth,zero_depth,max_velocity,min_velocity,ave_velocity,std_dev_velocity,zero_velocity,m_type
IGOMSC,FM006,28/01/2018,Q,Q,78,38,52.89166667,9.061799107,0,0.36,0.04,0.228972222,0.079059488,0,FM
IGOMSC,FM006,03/01/2018,Q,Q,81,50,59.81666667,6.103625316,0,0.35,0.13,0.246708333,0.040199412,0,FM
IGOMSC,FM006,28/12/2017,Q,Q,91,50,63.73194444,7.762939781,0,0.36,0.19,0.284041667,0.032092936,0,FM
IGOMSC,FM006,31/01/2018,E,E,617,39,75.46527778,94.92958471,0,0.42,0.01,0.192097222,0.07203126,0,FM
IGOMSC,FM006,09/12/2017,E,E,696,25,232.2194444,250.450674,0,0.06,0,0.000277778,0.003447287,714,FM
IGOMSC,FM006,11/01/2018,L,L,73,39,53.05138889,7.728629165,0,0.33,0.03,0.220361111,0.070845344,0,FM
IGOMSC,FM006,28/02/2018,B,B,2263,2102,2190.186111,52.27310146,0,0.02,0,5.56E-05,0.000911812,717,FM
IGOMSC,FM006,19/01/2018,L,L,75,36,51.95,9.170931279,0,0.36,0.12,0.259347222,0.045037354,0,FM
IGOMSC,FM006,11/12/2017,E,E,1643,44,703.4833333,528.3549111,0,0.02,0,4.17E-05,0.00083287,718,FM
IGOMSC,FM006,25/02/2018,B,B,2236,837,1721.665278,559.4174254,0,0.01,0,2.78E-05,0.00052668,718,FM
IGOMSC,FM006,14/01/2018,L,L,85,35,57.0625,13.31151255,0,0.35,0.04,0.228041667,0.072497074,0,FM
IGOMSC,FM006,26/12/2017,E,E,2234,41,200.9736111,425.8054537,0,0.42,0.03,0.229680556,0.0690873,0,FM
IGOMSC,FM006,02/01/2018,E,E,407,42,71.54444444,42.51588229,0,0.38,0.08,0.259930556,0.043671815,0,FM
IGOMSC,FM006,20/12/2017,Q,Q,66,0,48.6375,8.175779854,3,0.32,0,0.185555556,0.087634481,17,FM
IGOMSC,FM006,26/01/2018,Q,Q,72,40,53.25555556,7.910572649,0,0.34,0.12,0.242472222,0.046564885,0,FM
IGOMSC,FM006,13/12/2017,E,E,1056,26,86.48472222,177.8486012,0,0.19,0,0.004208333,0.018199511,647,FM
IGOMSC,FM006,22/12/2017,Q,Q,71,31,46.88333333,8.401784697,0,0.33,0,0.199861111,0.07558199,3,FM
IGOMSC,FM006,02/03/2018,B,B,2296,2093,2180.029167,56.13180381,0,0.01,0,1.39E-05,0.000372678,719,FM
IGOMSC,FM006,23/12/2017,Q,Q,94,32,49.58055556,10.23108029,0,0.36,0,0.213611111,0.083130769,5,FM
IGOMSC,FM006,27/02/2018,B,B,2282,2101,2189.148611,52.26408147,0,0,0,0,0,720,FM
IGOMSC,FM006,06/12/2017,Q,Q,65,26,42.45694444,9.129623281,0,0.11,0,0.0015,0.008886551,688,FM
IGOMSC,FM006,21/01/2018,E,E,1605,34,356.6875,539.2204344,0,0.4,0.03,0.237777778,0.078941577,0,FM
IGOMSC,FM006,24/01/2018,Ev,E,2098,0,480.0027778,741.0911607,1,0.4,0,0.207958333,0.08954295,3,FM
